Order_ID,City,Category,Sales,Quantity,Order_Date
1407,Tanta,Clothing,790.0,5,2022-11-09
4949,,Clothing,751.0,8,2022-06-22
1381,Alex,Books,,8,2022-08-15
4430,Alex,Electronics,159.0,5,2022-04-03
860,Giza,Books,831.0,5,2022-05-07
3497,Giza,Books,493.0,7,2022-09-29
1968,Alex,Books,,5,2022-02-02
2439,,Electronics,663.0,3,2022-05-04
2886,Tanta,Books,247.0,4,2022-08-05
3391,Cairo,Books,351.0,7,2022-07-10
3749,Cairo,Electronics,115.0,6,2022-10-06
1214,Cairo,Electronics,954.0,10,2022-01-26
3811,Mansoura,Books,278.0,3,2022-09-20
1772,Mansoura,Food,411.0,9,2022-08-29
4666,Cairo,Books,243.0,3,2022-10-18
3981,Mansoura,Clothing,915.0,3,2022-05-27
1077,,Food,362.0,10,2022-10-10
1990,Cairo,Food,675.0,1,2022-02-07
4828,Mansoura,Electronics,448.0,1,2022-02-09
4355,Mansoura,Electronics,585.0,3,2022-04-01
3562,Giza,,72.0,9,2022-11-19
3940,Cairo,,96.0,9,2022-10-13
2805,Cairo,Food,642.0,1,2022-05-16
4049,Cairo,Electronics,85.0,3,2022-04-23
1075,Tanta,Electronics,745.0,7,2022-01-28
3002,Alex,Books,557.0,9,2022-03-23
3065,Cairo,Clothing,205.0,4,2022-10-07
3520,Alex,Food,791.0,9,2022-10-01
1839,Tanta,Clothing,,10,2022-08-23
739,Alex,Food,385.0,5,2022-04-21
998,Giza,,358.0,4,2022-06-28
2019,Giza,Electronics,571.0,7,2022-01-08
1933,Cairo,Books,103.0,6,2022-08-26
4360,Giza,,850.0,3,2022-12-09
3625,Giza,Books,139.0,1,2022-12-28
1358,Tanta,,571.0,10,2022-07-30
3389,Tanta,Clothing,994.0,6,2022-03-20
3211,Alex,Books,966.0,3,2022-09-05
1335,Tanta,Electronics,809.0,6,2022-11-19
2026,Tanta,,847.0,6,2022-07-22
1457,Alex,Food,796.0,6,2022-09-04
2189,Giza,Books,421.0,10,2022-12-11
2449,Tanta,Clothing,558.0,3,2022-05-26
2411,Tanta,,935.0,1,2022-09-24
4681,Cairo,Books,433.0,5,2022-06-27
4217,Giza,Electronics,609.0,7,2022-01-10
874,Tanta,Food,69.0,6,2022-11-19
4566,Cairo,Food,,3,2022-01-05
806,Giza,Food,,9,2022-11-28
1710,Alex,Electronics,417.0,7,2022-12-19
1487,Alex,Books,,6,2022-11-02
4798,Alex,Clothing,,3,2022-02-24
834,Cairo,Clothing,824.0,10,2022-03-31
2283,Giza,Electronics,932.0,1,2022-11-06
2719,Alex,Books,898.0,6,2022-03-12
3226,Giza,Electronics,116.0,2,2022-06-08
4048,Tanta,Food,652.0,5,2022-10-26
1287,Tanta,Books,701.0,10,2022-03-20
4562,Tanta,Clothing,652.0,3,2022-09-20
3964,Giza,Books,386.0,1,2022-09-15
4476,Alex,Electronics,112.0,4,2022-09-09
4921,Cairo,Books,282.0,7,2022-03-18
4787,Mansoura,Clothing,719.0,1,2022-10-25
4218,Cairo,Food,959.0,8,2022-10-30
1187,Tanta,Food,627.0,6,2022-06-03
3413,Cairo,Clothing,123.0,1,2022-02-12
2430,,,770.0,9,2022-12-15
3022,Tanta,Electronics,900.0,7,2022-10-19
3555,Alex,Food,738.0,7,2022-07-02
223,Cairo,Books,935.0,6,2022-06-21
2074,Cairo,Books,203.0,2,2022-04-20
1712,Cairo,Books,515.0,8,2022-09-08
2570,,Food,792.0,3,2022-12-03
2372,Tanta,Books,201.0,8,2022-04-28
3694,Giza,Books,753.0,7,2022-01-06
130,Tanta,Books,692.0,7,2022-08-28
1063,,Food,,6,2022-10-31
1023,Giza,Clothing,322.0,2,2022-05-09
4233,Giza,Food,863.0,9,2022-01-28
845,,Electronics,,2,2022-11-02
2785,Giza,Food,828.0,2,2022-07-01
2860,Mansoura,Clothing,661.0,10,2022-02-05
1831,Tanta,Clothing,821.0,9,2022-09-04
2223,Alex,Books,468.0,1,2022-09-11
3476,Cairo,Food,460.0,7,2022-11-14
4569,Cairo,Food,952.0,3,2022-10-14
3104,Mansoura,Books,193.0,6,2022-07-06
3983,,Books,288.0,9,2022-01-07
361,Cairo,Books,77.0,8,2022-03-28
3839,Mansoura,,,10,2022-04-03
3894,Mansoura,Clothing,873.0,10,2022-09-05
2835,Cairo,Clothing,710.0,3,2022-01-15
4817,Alex,Food,289.0,7,2022-08-15
446,Tanta,Food,53.0,4,2022-04-23
4411,,Electronics,355.0,5,2022-11-10
1324,Giza,Electronics,679.0,8,2022-10-11
2843,Giza,Electronics,756.0,3,2022-06-23
1099,Mansoura,Books,955.0,4,2022-01-04
3604,Alex,Electronics,307.0,7,2022-08-27
2124,Tanta,Clothing,283.0,7,2022-05-05
4431,Giza,Food,416.0,5,2022-11-02
2501,Tanta,Electronics,791.0,9,2022-01-13
4907,Mansoura,Electronics,818.0,2,2022-12-30
3164,Mansoura,Books,218.0,7,2022-11-04
117,Tanta,Food,910.0,4,2022-10-08
3754,Giza,Food,557.0,1,2022-08-31
76,Alex,Food,181.0,3,2022-01-14
1504,,Clothing,435.0,8,2022-02-14
1245,Cairo,Food,781.0,4,2022-06-19
1317,Tanta,Food,224.0,5,2022-12-17
4008,Giza,Books,599.0,9,2022-08-05
891,Cairo,Food,471.0,5,2022-02-15
1201,Giza,Electronics,474.0,9,2022-06-29
1529,Alex,Electronics,791.0,6,2022-10-28
3988,Mansoura,Clothing,333.0,7,2022-07-24
1044,Tanta,Food,865.0,10,2022-11-18
4464,Alex,Clothing,,6,2022-08-11
212,Giza,Food,602.0,2,2022-09-04
2681,Mansoura,Clothing,593.0,1,2022-02-22
359,Tanta,Food,141.0,9,2022-06-21
1594,Cairo,Food,463.0,5,2022-06-26
4056,Cairo,Clothing,991.0,4,2022-09-03
970,Mansoura,Books,,3,2022-08-29
95,Mansoura,Books,333.0,8,2022-02-16
3992,Cairo,Food,887.0,5,2022-06-19
167,Tanta,Clothing,619.0,10,2022-10-29
2182,Giza,Clothing,,2,2022-11-04
3930,Cairo,Clothing,343.0,4,2022-09-11
1161,Tanta,Clothing,613.0,2,2022-10-03
3438,Tanta,Food,765.0,3,2022-05-14
1191,Cairo,Books,921.0,6,2022-09-04
1275,Mansoura,Food,307.0,9,2022-11-29
1079,Giza,Clothing,,8,2022-11-08
352,Alex,Clothing,487.0,8,2022-12-06
4111,Tanta,Books,511.0,5,2022-06-23
53,Tanta,Food,762.0,1,2022-03-17
2355,Mansoura,Clothing,573.0,10,2022-08-07
2846,Cairo,Books,578.0,1,2022-10-13
1745,Giza,Clothing,693.0,2,2022-02-06
4652,Alex,Clothing,319.0,10,2022-05-24
4677,Tanta,Electronics,937.0,1,2022-09-27
2254,Tanta,Food,940.0,6,2022-07-05
4769,Tanta,Clothing,523.0,8,2022-11-09
2157,Tanta,Food,732.0,2,2022-09-16
630,Mansoura,,855.0,2,2022-07-03
3055,Alex,Electronics,462.0,6,2022-05-25
2717,,Books,987.0,4,2022-03-19
1703,Mansoura,Books,929.0,8,2022-11-13
3741,Tanta,Clothing,889.0,9,2022-05-14
3481,Alex,Books,,1,2022-06-15
1473,Tanta,Food,79.0,7,2022-11-13
4868,Alex,Books,973.0,10,2022-01-27
4210,Tanta,Food,634.0,1,2022-07-14
2335,Cairo,Electronics,268.0,6,2022-07-02
3126,Mansoura,Food,127.0,7,2022-09-05
2879,Alex,Books,606.0,6,2022-01-16
3202,Tanta,Clothing,810.0,5,2022-12-27
1271,Mansoura,Food,136.0,4,2022-03-24
3683,Mansoura,Books,891.0,10,2022-08-06
1227,,Clothing,506.0,9,2022-07-16
1927,Alex,Clothing,446.0,9,2022-12-02
3718,,Clothing,680.0,8,2022-05-13
1492,Alex,Electronics,165.0,7,2022-06-06
1131,Mansoura,Books,,5,2022-09-17
1573,Tanta,Books,319.0,6,2022-02-15
4778,Tanta,Books,498.0,7,2022-11-06
4569,Cairo,Food,952.0,3,2022-10-14
3171,,Clothing,,6,2022-05-30
1181,Alex,Clothing,914.0,2,2022-12-21
4146,Mansoura,Food,376.0,9,2022-08-30
738,Cairo,Food,901.0,1,2022-11-15
2689,Alex,Books,569.0,1,2022-06-14
397,Tanta,Clothing,,3,2022-08-28
814,Cairo,,240.0,6,2022-04-18
3269,Alex,Electronics,838.0,2,2022-10-05
2988,Cairo,Food,154.0,1,2022-03-01
1707,Mansoura,Electronics,,6,2022-01-16
1813,Alex,Food,,3,2022-11-28
2126,,Electronics,102.0,10,2022-05-22
1515,,Clothing,591.0,6,2022-09-01
771,Tanta,Books,719.0,4,2022-06-06
3377,Cairo,Clothing,405.0,2,2022-04-08
2520,Mansoura,,788.0,4,2022-03-15
2321,Tanta,Food,262.0,4,2022-05-31
2136,,Food,461.0,7,2022-08-12
315,Giza,Food,139.0,5,2022-06-20
3975,Giza,Electronics,258.0,4,2022-12-19
1200,Cairo,Books,608.0,6,2022-09-05
2122,Alex,Food,332.0,2,2022-01-02
722,Giza,Food,,4,2022-10-05
4472,Alex,Electronics,149.0,1,2022-07-27
2582,Giza,Clothing,638.0,6,2022-12-04
1553,Alex,Clothing,846.0,3,2022-08-01
3133,Cairo,Clothing,690.0,2,2022-10-12
4271,Alex,Electronics,493.0,9,2022-06-26
2187,Cairo,Books,389.0,4,2022-08-05
2576,Alex,Electronics,,2,2022-03-27
4829,Giza,Clothing,570.0,7,2022-10-26
3878,Tanta,Clothing,790.0,3,2022-11-16
3618,Mansoura,,611.0,9,2022-12-15
133,Cairo,Books,96.0,2,2022-10-08
2188,Giza,Books,460.0,4,2022-09-06
2106,Cairo,Books,820.0,8,2022-04-08
3714,Giza,Electronics,347.0,5,2022-08-11
1226,Cairo,Books,448.0,2,2022-09-04
4873,Tanta,,265.0,10,2022-06-29
3074,Cairo,Electronics,239.0,5,2022-01-07
3089,Mansoura,Food,401.0,2,2022-02-22
4171,Mansoura,Books,,7,2022-04-19
316,Alex,Clothing,217.0,10,2022-08-15
972,Mansoura,Electronics,712.0,10,2022-01-16
3877,Alex,Clothing,184.0,10,2022-04-02
3491,Alex,Books,484.0,8,2022-04-06
1029,Giza,Electronics,637.0,6,2022-09-12
1578,Cairo,,885.0,6,2022-06-09
4670,Giza,Books,716.0,8,2022-02-09
938,Tanta,Electronics,328.0,9,2022-11-21
193,Alex,Food,790.0,9,2022-08-01
70,Tanta,Electronics,,1,2022-04-06
88,Tanta,,502.0,6,2022-07-18
1561,Giza,Food,415.0,1,2022-10-11
4009,Mansoura,Clothing,764.0,5,2022-10-24
4689,Tanta,Clothing,651.0,9,2022-04-05
2827,Giza,Books,467.0,2,2022-08-07
4922,Alex,Clothing,190.0,6,2022-07-13
3364,Tanta,Clothing,546.0,8,2022-04-14
1523,Tanta,Food,517.0,5,2022-05-23
4071,Giza,Food,530.0,8,2022-01-24
2640,Alex,Books,313.0,3,2022-03-19
2787,Giza,Electronics,841.0,10,2022-11-24
460,Giza,,732.0,1,2022-05-30
3832,Cairo,,502.0,4,2022-06-15
3088,Giza,,684.0,5,2022-10-06
3127,Giza,Clothing,662.0,10,2022-06-15
1368,Mansoura,Clothing,850.0,3,2022-08-08
2384,Cairo,Food,137.0,1,2022-03-28
4939,,Food,86.0,9,2022-06-24
2564,Giza,Books,214.0,3,2022-12-04
3478,Mansoura,Food,790.0,1,2022-06-13
1628,Alex,Food,221.0,1,2022-07-25
2046,Mansoura,Food,629.0,3,2022-04-21
79,Alex,Books,,5,2022-04-17
2892,Tanta,Clothing,556.0,7,2022-01-08
916,,Books,355.0,4,2022-11-09
2940,Tanta,Food,251.0,6,2022-03-16
551,Tanta,,632.0,2,2022-10-04
663,,Electronics,184.0,6,2022-09-26
2117,Tanta,Clothing,224.0,4,2022-05-08
2692,,Clothing,140.0,5,2022-11-21
4760,Giza,Clothing,916.0,3,2022-08-26
4786,Cairo,,713.0,10,2022-10-27
1646,Giza,,470.0,3,2022-06-14
3239,,,996.0,2,2022-01-23
386,Alex,Food,,6,2022-01-15
2913,Cairo,Food,539.0,7,2022-08-14
4457,Tanta,Books,468.0,9,2022-07-26
1583,Mansoura,Electronics,468.0,7,2022-05-17
3209,Giza,Electronics,,10,2022-12-20
2260,Tanta,Books,945.0,9,2022-09-09
1776,,Clothing,368.0,4,2022-01-16
986,Alex,Clothing,714.0,4,2022-04-07
2935,Cairo,Food,813.0,6,2022-09-07
2591,Mansoura,Electronics,,9,2022-03-29
11,Tanta,Clothing,,4,2022-05-06
4796,Giza,Clothing,529.0,3,2022-12-04
870,Tanta,Electronics,590.0,10,2022-05-09
1855,Cairo,Food,624.0,2,2022-08-08
4900,Tanta,Books,633.0,8,2022-12-11
2670,Cairo,Electronics,501.0,9,2022-03-24
1607,Mansoura,Clothing,361.0,10,2022-09-05
4821,Giza,,547.0,1,2022-06-08
1768,Mansoura,Clothing,786.0,5,2022-10-14
156,,Books,763.0,10,2022-07-12
3510,Alex,Books,793.0,1,2022-03-15
3908,Tanta,Food,534.0,1,2022-05-03
3327,Mansoura,Electronics,380.0,6,2022-08-11
261,Giza,Books,79.0,2,2022-06-22
3144,,Books,986.0,5,2022-06-08
3910,Tanta,Electronics,352.0,4,2022-02-14
297,Giza,Clothing,899.0,2,2022-09-11
504,Tanta,Clothing,980.0,7,2022-04-04
459,Mansoura,,211.0,10,2022-09-07
4144,Giza,,906.0,1,2022-07-15
4580,Cairo,Clothing,376.0,8,2022-01-27
4469,,Clothing,,10,2022-02-15
4848,Cairo,Clothing,134.0,4,2022-10-18
1343,Mansoura,Books,605.0,7,2022-06-29
704,Giza,Electronics,102.0,1,2022-01-24
1067,Mansoura,Clothing,116.0,4,2022-04-16
4393,Cairo,Food,642.0,10,2022-12-31
4675,Giza,Food,206.0,3,2022-11-12
2585,Cairo,,454.0,6,2022-08-20
1565,Cairo,Clothing,51.0,5,2022-02-02
1840,Giza,,96.0,7,2022-05-17
2726,Tanta,Electronics,266.0,1,2022-06-13
823,Mansoura,Food,273.0,8,2022-05-07
480,Giza,Food,615.0,8,2022-01-07
1698,Mansoura,Clothing,795.0,9,2022-12-07
4705,Alex,Electronics,372.0,3,2022-04-02
656,Cairo,Food,697.0,7,2022-11-06
910,Alex,Electronics,538.0,3,2022-08-26
1026,Cairo,Clothing,,5,2022-01-13
2908,Tanta,,,5,2022-02-12
1305,Mansoura,Electronics,699.0,7,2022-06-19
3135,Mansoura,,851.0,8,2022-01-05
1469,Mansoura,Food,433.0,2,2022-04-09
443,Giza,Electronics,753.0,5,2022-10-17
1572,Cairo,Food,736.0,4,2022-10-18
768,Mansoura,Books,183.0,5,2022-08-09
3338,Tanta,Books,799.0,5,2022-03-02
4527,Giza,Clothing,734.0,6,2022-11-15
1385,Mansoura,,344.0,6,2022-02-08
1126,Alex,Electronics,839.0,5,2022-11-14
2828,Mansoura,Books,,6,2022-03-07
4991,,Books,,10,2022-07-26
3078,,Electronics,574.0,2,2022-10-29
2480,Mansoura,Electronics,259.0,2,2022-07-28
2200,Alex,Clothing,418.0,10,2022-05-03
730,,Books,308.0,4,2022-12-30
2646,Tanta,Electronics,295.0,7,2022-04-26
4285,Tanta,Food,77.0,2,2022-10-28
2236,Mansoura,Clothing,937.0,10,2022-11-22
1482,Mansoura,Electronics,74.0,1,2022-04-28
4129,Mansoura,Books,140.0,6,2022-02-23
2623,Tanta,Clothing,934.0,2,2022-04-08
3875,Cairo,Clothing,765.0,9,2022-01-10
2383,Alex,Clothing,199.0,6,2022-04-02
2049,Tanta,,496.0,3,2022-07-18
1516,Cairo,Books,469.0,8,2022-06-18
648,Tanta,Books,621.0,8,2022-10-23
4820,Alex,Food,,8,2022-10-06
2053,Alex,Electronics,,10,2022-11-11
2015,,Food,189.0,6,2022-05-07
4420,Giza,Food,946.0,2,2022-04-08
2853,Tanta,Electronics,167.0,10,2022-03-20
4039,Alex,Electronics,123.0,5,2022-07-08
192,Giza,Clothing,854.0,10,2022-03-18
632,Mansoura,Food,759.0,9,2022-03-04
4614,,,833.0,3,2022-02-13
740,Cairo,Books,820.0,7,2022-06-05
4952,Tanta,Electronics,541.0,8,2022-06-20
744,Mansoura,Electronics,,8,2022-03-14
4737,Tanta,Electronics,923.0,4,2022-06-08
4475,Giza,Electronics,243.0,1,2022-12-26
2894,Giza,Electronics,98.0,3,2022-03-30
1743,,Clothing,635.0,7,2022-07-17
1881,Cairo,Food,785.0,1,2022-08-11
195,Alex,,394.0,3,2022-12-02
4729,Alex,Books,844.0,5,2022-07-04
1061,Alex,,370.0,10,2022-08-10
518,Alex,Books,306.0,10,2022-05-21
3746,Alex,Clothing,336.0,5,2022-08-21
3390,Cairo,Books,178.0,1,2022-01-17
4304,Tanta,Electronics,79.0,8,2022-06-22
1017,Mansoura,Books,484.0,8,2022-04-11
2769,Giza,,713.0,6,2022-04-26
4036,Cairo,Clothing,,7,2022-01-12
4784,,Books,477.0,5,2022-09-17
4374,Alex,Clothing,349.0,5,2022-01-21
3046,Alex,Food,860.0,6,2022-06-24
1739,Alex,Clothing,995.0,2,2022-07-11
3345,Mansoura,Books,185.0,10,2022-06-15
4629,,Food,283.0,9,2022-06-21
2545,Alex,Books,232.0,9,2022-08-15
2707,,Clothing,933.0,5,2022-01-12
2538,Tanta,Food,,8,2022-04-16
2017,Alex,Food,,5,2022-01-05
203,Cairo,Clothing,684.0,7,2022-03-31
2229,Giza,Food,887.0,2,2022-01-16
2060,Cairo,Electronics,,8,2022-04-07
2208,Cairo,Food,343.0,8,2022-06-05
2729,Mansoura,Food,900.0,10,2022-03-10
3824,,Clothing,949.0,4,2022-02-24
3295,Tanta,Food,501.0,1,2022-03-30
2481,Tanta,Food,291.0,10,2022-02-25
3335,,,984.0,5,2022-10-20
4393,Cairo,Food,642.0,10,2022-12-31
875,Alex,Food,969.0,10,2022-02-02
4341,,Food,294.0,7,2022-09-23
4450,Alex,Food,925.0,5,2022-06-20
2305,Cairo,Clothing,365.0,5,2022-11-01
4662,,Clothing,667.0,8,2022-11-04
782,Cairo,Food,77.0,7,2022-01-14
1437,Giza,,75.0,7,2022-09-04
935,Alex,Food,330.0,10,2022-09-14
1315,Alex,Electronics,881.0,6,2022-08-17
2790,Alex,Books,889.0,5,2022-10-24
1892,Tanta,,788.0,9,2022-06-19
1041,Cairo,Books,109.0,9,2022-06-15
3866,Giza,Clothing,346.0,9,2022-09-28
2211,Cairo,Clothing,593.0,9,2022-12-22
445,Cairo,Clothing,456.0,2,2022-11-18
4889,Cairo,Books,639.0,7,2022-03-22
1773,Tanta,Clothing,809.0,9,2022-05-30
2541,Mansoura,Food,786.0,8,2022-08-18
3574,Giza,Food,636.0,5,2022-08-22
3447,Cairo,,879.0,3,2022-03-24
2859,Mansoura,Clothing,478.0,5,2022-08-31
3626,Giza,Books,148.0,6,2022-01-09
1699,Giza,,309.0,2,2022-04-16
4524,Mansoura,Food,523.0,7,2022-09-21
2346,Alex,Food,319.0,10,2022-03-05
2235,,Food,102.0,6,2022-08-27
1234,Giza,Food,99.0,4,2022-11-10
2034,Cairo,Food,107.0,5,2022-07-12
4479,Tanta,,840.0,1,2022-05-19
2399,Alex,Electronics,810.0,8,2022-04-30
1360,Cairo,Books,177.0,10,2022-06-12
1877,Cairo,,947.0,8,2022-08-20
2914,Cairo,Electronics,524.0,10,2022-07-06
3750,Cairo,Books,878.0,4,2022-03-01
3147,Cairo,Electronics,290.0,10,2022-09-16
653,Alex,Electronics,188.0,6,2022-06-28
3909,Alex,Food,96.0,9,2022-12-11
4507,Mansoura,,,8,2022-06-19
3957,Alex,Clothing,862.0,7,2022-04-08
3186,,Clothing,899.0,5,2022-09-25
1018,Mansoura,Books,496.0,4,2022-09-26
1459,Giza,Clothing,224.0,9,2022-12-21
455,Cairo,Clothing,555.0,2,2022-03-11
1201,Giza,Electronics,474.0,9,2022-06-29
4768,,Clothing,,3,2022-02-19
2128,Cairo,Food,744.0,10,2022-10-02
1421,,Books,253.0,9,2022-01-23
3050,Giza,Books,621.0,4,2022-04-24
4483,Giza,Electronics,998.0,7,2022-07-21
2978,Cairo,Electronics,833.0,1,2022-04-19
3722,,Food,650.0,4,2022-04-01
1225,Tanta,Books,691.0,7,2022-02-24
4928,Alex,Food,813.0,2,2022-05-20
1307,,Electronics,214.0,8,2022-09-16
3939,Giza,Food,788.0,7,2022-05-26
4906,Mansoura,,901.0,5,2022-02-22
3227,,Food,912.0,1,2022-11-22
7,Tanta,Food,480.0,7,2022-05-09
2134,Mansoura,Clothing,872.0,8,2022-11-14
2832,Tanta,Food,401.0,3,2022-07-11
1517,Tanta,Clothing,661.0,8,2022-04-16
1787,Giza,Books,,7,2022-09-08
2812,Cairo,Books,766.0,9,2022-08-20
1288,Giza,Books,604.0,1,2022-07-09
141,Mansoura,Electronics,389.0,4,2022-04-26
4398,Tanta,Clothing,583.0,4,2022-09-21
3801,Alex,Electronics,577.0,8,2022-01-27
1248,Tanta,Books,344.0,9,2022-11-10
4237,Alex,Food,216.0,3,2022-11-25
3896,Giza,Clothing,899.0,8,2022-01-07
1105,Giza,Food,837.0,1,2022-01-15
4664,Alex,Books,852.0,1,2022-02-27
1006,Cairo,Books,268.0,8,2022-09-23
2932,Mansoura,Food,83.0,4,2022-05-25
4780,Cairo,Books,302.0,8,2022-10-10
3572,,Food,,2,2022-12-16
1679,,,674.0,3,2022-11-21
4588,Alex,Electronics,430.0,8,2022-05-24
1265,Tanta,Books,191.0,6,2022-08-28
1710,Alex,Electronics,417.0,7,2022-12-19
3273,Tanta,Books,443.0,6,2022-04-11
4139,Tanta,Clothing,991.0,7,2022-03-31
4694,Giza,Books,262.0,6,2022-10-27
4622,Alex,Food,406.0,10,2022-11-23
1241,Tanta,Food,928.0,9,2022-12-28
3185,Alex,Clothing,752.0,8,2022-02-10
4497,Giza,Books,697.0,3,2022-07-12
1250,Tanta,Food,78.0,7,2022-06-23
4604,Alex,Clothing,460.0,1,2022-06-03
31,,Books,344.0,3,2022-12-07
3648,Alex,Clothing,977.0,1,2022-06-04
2304,Alex,Food,198.0,6,2022-10-30
432,Tanta,Food,376.0,2,2022-03-27
807,Cairo,,430.0,2,2022-03-18
3569,Giza,Electronics,140.0,1,2022-06-02
481,Mansoura,Electronics,,4,2022-03-31
3509,Giza,Electronics,909.0,10,2022-11-15
4851,Giza,Books,305.0,4,2022-11-28
152,Tanta,Electronics,464.0,9,2022-10-22
796,Tanta,Clothing,522.0,4,2022-05-16
323,Tanta,Food,69.0,8,2022-07-05
950,Giza,Electronics,405.0,7,2022-04-22
1898,Alex,Books,989.0,2,2022-02-18
4010,Alex,Books,904.0,6,2022-02-19
1750,Tanta,Books,691.0,7,2022-03-13
3713,Alex,Books,806.0,5,2022-03-05
535,Cairo,Books,488.0,10,2022-09-06
2143,Tanta,Food,456.0,8,2022-10-22
